name,allocation,leverage_mode,vol_target,is_sharpe,is_cagr,is_max_dd,is_sortino,is_calmar,oos_sharpe,oos_cagr,oos_max_dd,oos_sortino,oos_calmar,oos_daily_wr,oos_monthly_wr,degradation
risk_parity_vm30pct,risk_parity,vol_managed,0.3,0.5819037448721809,0.03829831008142737,-0.20136034216270493,0.7362528823300449,0.19019787943388194,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0518787529361715
risk_parity_fixed_2x,risk_parity,fixed,,0.5819037448721809,0.03829831008142737,-0.20136034216270493,0.7362528823300449,0.19019787943388194,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0518787529361715
risk_parity_vm25pct,risk_parity,vol_managed,0.25,0.5819037448721809,0.03829831008142737,-0.20136034216270493,0.7362528823300449,0.19019787943388194,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0518787529361715
risk_parity_vm20pct,risk_parity,vol_managed,0.2,0.5819037448721809,0.03829831008142737,-0.20136034216270493,0.7362528823300449,0.19019787943388194,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0518787529361715
risk_parity_vm18pct,risk_parity,vol_managed,0.18,0.5821007043938546,0.03824763358379091,-0.20136034216270304,0.7367476143532041,0.18994620873700185,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0511844794974685
risk_parity_vm15pct,risk_parity,vol_managed,0.15,0.5737610672119329,0.03732702713019265,-0.20136034216270482,0.7242888226638388,0.18537427345068455,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.0809985176568047
risk_parity_vm12pct,risk_parity,vol_managed,0.12,0.5586603178710267,0.03576325016545434,-0.2013603421627045,0.7027629945115433,0.17760821113701072,1.1939959303572185,0.07238844035197678,-0.04184630849676829,1.4116235605468348,1.7298644241837293,0.4761061946902655,0.634862385321101,-1.1372485071203262
risk_parity_vm10pct,risk_parity,vol_managed,0.1,0.5387361728210017,0.03380291450044126,-0.20123968728594188,0.676378664677502,0.16797340006005193,1.1901327896869938,0.07191040670599036,-0.04130161599649684,1.4051336979486777,1.7411039488646092,0.4761061946902655,0.634862385321101,-1.2091198804324996
risk_parity_vm8pct,risk_parity,vol_managed,0.08,0.5510627834161678,0.03298031672827961,-0.18810294091658863,0.69743535792541,0.1753312126199251,1.182838891185359,0.06830338772676914,-0.0360734717362271,1.4165203610689179,1.8934520144390443,0.4761061946902655,0.6330275229357798,-1.1464684728891732
equal_fixed_2x,equal,fixed,,0.5344982076078858,0.0589184237209146,-0.29569235780046943,0.6227524053224018,0.19925582168975847,1.1409779898335817,0.08493133844614231,-0.06303433451604779,1.3660164876080367,1.34738217033956,0.5380530973451327,0.6110091743119266,-1.1346713115090865
equal_vm25pct,equal,vol_managed,0.25,0.556190463843658,0.06060291457768763,-0.2722379827328907,0.6525625856851772,0.22261006333252495,1.1407676754093512,0.08485348768159184,-0.06303433451604756,1.3626652507243748,1.3461471170127046,0.5380530973451327,0.6091743119266055,-1.0510378180989717
equal_vm20pct,equal,vol_managed,0.2,0.5784462588309828,0.06228024503772267,-0.2503181029889092,0.6894084949518352,0.24880439845967556,1.1407676754093512,0.08485348768159184,-0.06303433451604756,1.3626652507243748,1.3461471170127046,0.5380530973451327,0.6091743119266055,-0.9721238714808147
equal_vm18pct,equal,vol_managed,0.18,0.5856753817507959,0.062485676405696466,-0.24997399626381944,0.7010043691464319,0.24996870610393354,1.1407676754093512,0.08485348768159184,-0.06303433451604756,1.3626652507243748,1.3461471170127046,0.5380530973451327,0.6091743119266055,-0.9477815031241084
equal_vm15pct,equal,vol_managed,0.15,0.5978781129634358,0.06239596986565554,-0.24721543888377573,0.7211969041036156,0.25239511798852493,1.1407676754093512,0.08485348768159184,-0.06303433451604756,1.3626652507243748,1.3461471170127046,0.5380530973451327,0.6091743119266055,-0.9080271558278579
equal_vm30pct,equal,vol_managed,0.3,0.5450063319775024,0.05970923085627167,-0.28454102773507084,0.6368597329380372,0.20984401206234998,1.1407676754093512,0.08485348768159184,-0.06303433451604756,1.3626652507243748,1.3461471170127046,0.5380530973451327,0.6091743119266055,-1.093127379401606
equal_vm12pct,equal,vol_managed,0.12,0.6174512873079636,0.06033954875010794,-0.23660671232942765,0.7541253686407847,0.25502044365544946,1.1365031385288002,0.08441498947987602,-0.06302529696090187,1.3563535694892062,1.3393826534802904,0.5380530973451327,0.6091743119266055,-0.8406361147676276
equal_vm10pct,equal,vol_managed,0.1,0.6355989214287511,0.05678913482219983,-0.21139956405870497,0.7798685657240312,0.2686341150941526,1.0920661080956087,0.07914321657947343,-0.06286851838936736,1.29170823055978,1.2588688044039946,0.5380530973451327,0.6091743119266055,-0.7181685985885147
equal_vm8pct,equal,vol_managed,0.08,0.6559847290860487,0.05045218985189548,-0.16928909970764772,0.804775045645548,0.29802385350872224,1.0884729499282433,0.07252967244870812,-0.05734043242895981,1.3384621481597525,1.2648958052167911,0.5380530973451327,0.6091743119266055,-0.6592961720995536
